,Data Type,Missing Count,Missing Percentage,Unique Values
loan_amount,Float64,0,0.0,1615
application_date,datetime64[ns],0,0.0,3709
purpose,object,0,0.0,14
risk_score,Float64,167756,33.6,460
dti,Float64,15098,3.02,11684
state,string,0,0.0,51
approval_label,int64,0,0.0,2
employment_years,float64,24789,4.96,11
risk_score_missing,int64,0,0.0,2
dti_missing,int64,0,0.0,2
employment_missing,int64,0,0.0,2
application_year,int64,0,0.0,12
application_month,int64,0,0.0,12
application_quarter,int64,0,0.0,4
application_period,object,0,0.0,47
loan_amount_log,Float64,0,0.0,1615
loan_amount_band,category,0,0.0,5
risk_score_band,string,0,0.0,6
dti_band,string,0,0.0,5
employment_band,string,0,0.0,5
