purpose,Applications,Approval_Rate,Approval_Rate_%
debt_consolidation,252585,0.560227250232595,56.02
credit_card,90503,0.6311724473221882,63.12
other,58890,0.25929699439633214,25.93
home_improvement,27554,0.606953618349423,60.7
major_purchase,14344,0.3918014500836587,39.18
car,14209,0.18502357660637625,18.5
small_business,10148,0.2750295624753646,27.5
medical,9573,0.3137992269925833,31.38
moving,8070,0.20285006195786864,20.29
house,7669,0.19702699178510888,19.7
vacation,4571,0.3806606869394006,38.07
renewable_energy,685,0.21605839416058395,21.61
wedding,420,0.5761904761904761,57.62
educational,116,0.4482758620689655,44.83
