state,Accuracy,Precision,Recall_TPR,Selection_Rate,Group_Size
AL,0.9701492537313433,0.9605678233438486,0.9666666666666667,0.41142115509409477,1541
AR,0.9759825327510917,0.9702233250620348,0.9750623441396509,0.43995633187772926,916
AZ,0.96331096196868,0.9643160577740016,0.9659574468085106,0.5266219239373602,2235
CA,0.9602899221219832,0.9591150938112574,0.9684716527640322,0.5506978178733903,12969
CO,0.9564315352697096,0.9555125725338491,0.9629629629629629,0.5363070539419087,1928
CT,0.95900439238653,0.961139896373057,0.9661458333333334,0.5651537335285505,1366
FL,0.965359828141783,0.9586245457086945,0.9689177733823114,0.48026315789473684,7448
GA,0.964663327768503,0.95929203539823,0.9655581947743468,0.4716193656093489,3594
HI,0.9529411764705882,0.946058091286307,0.9539748953974896,0.4725490196078431,510
IL,0.9629430719656283,0.9612518628912071,0.9699248120300752,0.540547798066595,3724
IN,0.9667063020214031,0.9603841536614646,0.9720534629404617,0.495243757431629,1682
KS,0.9631578947368421,0.9502617801047121,0.9758064516129032,0.5026315789473684,760
KY,0.9666080843585237,0.9468302658486708,0.9747368421052631,0.429701230228471,1138
LA,0.9719142645971914,0.9686411149825784,0.9652777777777778,0.42424242424242425,1353
MA,0.9565614997713763,0.9489539748953975,0.9708904109589042,0.5464106081390032,2187
MD,0.9697789806044204,0.9732758620689655,0.9690987124463519,0.5232295895354082,2217
MI,0.9704672897196261,0.9671292914536158,0.9749631811487481,0.5117757009345795,2675
MN,0.9599737532808399,0.9607182940516273,0.9705215419501134,0.5846456692913385,1524
MO,0.9645390070921985,0.9612983770287141,0.9637046307884856,0.4734042553191489,1692
MS,0.9811794228356336,0.9535714285714286,0.9925650557620818,0.35131744040150564,797
NC,0.9653315382026254,0.9568655643421998,0.9687045123726347,0.4681925277684281,2971
NJ,0.9562612342720191,0.9541387024608501,0.9638418079096045,0.5356500898741762,3338
NM,0.9689320388349515,0.9634146341463414,0.9713114754098361,0.47766990291262135,515
NV,0.956140350877193,0.9525179856115108,0.9678362573099415,0.5542264752791068,1254
NY,0.9645592626249513,0.9603673272112131,0.973303943179035,0.5371933013111775,7703
OH,0.9661154784494443,0.963882618510158,0.9655172413793104,0.4803469775006777,3689
OK,0.9667318982387475,0.9545454545454546,0.9713656387665198,0.4520547945205479,1022
OR,0.9578368469294225,0.9612903225806452,0.9644012944983819,0.5682859761686526,1091
PA,0.9667030567685589,0.9563294637921503,0.975747320924986,0.49372270742358076,3664
SC,0.9637268847795164,0.9536082474226805,0.9585492227979274,0.4139402560455192,1406
TN,0.9701492537313433,0.9645909645909646,0.966952264381885,0.43656716417910446,1876
TX,0.9628591450595655,0.9571084337349398,0.9659533073929961,0.48469983648680215,8562
UT,0.9693548387096774,0.9617834394904459,0.9773462783171522,0.5064516129032258,620
VA,0.9640852974186308,0.9617328519855596,0.9687272727272728,0.5181444070332959,2673
WA,0.9655704008221994,0.966796875,0.967741935483871,0.526207605344296,1946
WI,0.9557926829268293,0.9571865443425076,0.9542682926829268,0.49847560975609756,1312
