state,Accuracy,Recall_TPR,Selection_Rate
AL,0.9597663854639844,0.9650793650793651,0.42050616482803377
AR,0.9770742358078602,0.9825436408977556,0.44541484716157204
AZ,0.9628635346756153,0.9693617021276596,0.5306487695749441
CA,0.9592104248592799,0.9640887883500636,0.5469966844012646
CO,0.9585062240663901,0.969785575048733,0.5414937759336099
CT,0.9531478770131772,0.95703125,0.5607613469985359
FL,0.9641514500537057,0.9692003390788358,0.4817400644468314
GA,0.9596549805230941,0.9655581947743468,0.4766277128547579
HI,0.9431372549019608,0.9330543933054394,0.4627450980392157
IL,0.9573039742212675,0.962907268170426,0.5386680988184748
IN,0.9631391200951248,0.9781287970838396,0.504756242568371
KS,0.9486842105263158,0.9596774193548387,0.5013157894736842
KY,0.9639718804920914,0.9768421052631578,0.43409490333919154
LA,0.9682187730968219,0.9739583333333334,0.43532889874353287
MA,0.9565614997713763,0.9666095890410958,0.541838134430727
MD,0.9634641407307172,0.9665236051502146,0.5268380694632386
MI,0.9626168224299065,0.96759941089838,0.5121495327102804
MN,0.949475065616798,0.9625850340136054,0.5859580052493438
MO,0.9527186761229315,0.9574468085106383,0.4793144208037825
MS,0.9560853199498118,0.9851301115241635,0.3713927227101631
NC,0.9569168630090878,0.9621542940320232,0.47054863682261866
NJ,0.9547633313361295,0.9621468926553672,0.5353505092869982
NM,0.9631067961165048,0.9590163934426229,0.47184466019417476
NV,0.9537480063795853,0.9692982456140351,0.5582137161084529
NY,0.9613137738543425,0.9671809943668871,0.5339478125405686
OH,0.9533748983464353,0.9547767100056529,0.4827866630523177
OK,0.9598825831702544,0.973568281938326,0.4608610567514677
OR,0.9578368469294225,0.9644012944983819,0.5682859761686526
PA,0.962882096069869,0.9763113367174281,0.498089519650655
SC,0.9594594594594594,0.9637305699481865,0.422475106685633
TN,0.9626865671641791,0.9706242350061199,0.447228144989339
TX,0.9564354122868489,0.9664396887159533,0.49159074982480727
UT,0.9580645161290322,0.970873786407767,0.5112903225806451
VA,0.9629629629629629,0.9672727272727273,0.5177702955480733
WA,0.9619732785200411,0.9648093841642229,0.5267214799588901
WI,0.9504573170731707,0.9466463414634146,0.4961890243902439
