Feature,Mean_Absolute_SHAP
numeric__employment_years,2.3701985907890633
numeric__risk_score,2.3130151670721006
numeric__dti,0.49253903254999803
numeric__loan_amount,0.38401021093016313
numeric__application_year,0.2803221852175271
categorical__purpose_debt_consolidation,0.09701132735436034
categorical__purpose_credit_card,0.07459480547587712
categorical__purpose_other,0.060718867125472406
numeric__application_month,0.05681893877736099
categorical__purpose_car,0.03513223046145155
categorical__purpose_home_improvement,0.01983974115540271
categorical__purpose_small_business,0.013912016006832902
categorical__purpose_house,0.01227048618138999
categorical__state_CO,0.0029430134810537454
categorical__state_AZ,0.0026586571252820526
categorical__state_MA,0.00251994440469477
categorical__state_MN,0.0018938175507194927
categorical__state_TX,0.0017555850749736645
categorical__purpose_medical,0.0015368908994671964
categorical__purpose_moving,0.0006853626116251075
categorical__state_NY,0.0006570447207053539
categorical__state_AL,0.0006088022530687056
categorical__state_WV,0.0005667654675161188
categorical__state_FL,0.0004439550800161407
categorical__state_CA,0.00033119306996399377
categorical__state_HI,0.00029590711665752835
categorical__state_CT,0.00019350419793755312
categorical__state_PA,0.00019045962478608414
categorical__state_VA,0.00017730800877743
categorical__state_MO,0.00015512960928672093
categorical__state_OH,6.276126337514714e-05
categorical__state_ME,5.162407743725659e-05
categorical__state_IN,4.0504413396194335e-05
categorical__state_WY,3.4443367651137394e-05
categorical__state_ID,2.5857897427467554e-05
categorical__state_MD,2.49625138618272e-05
numeric__application_quarter,0.0
categorical__state_AR,0.0
categorical__purpose_wedding,0.0
categorical__state_AK,0.0
categorical__state_LA,0.0
categorical__state_KY,0.0
categorical__state_KS,0.0
categorical__state_IL,0.0
categorical__state_IA,0.0
categorical__state_DC,0.0
categorical__state_DE,0.0
categorical__state_GA,0.0
categorical__purpose_vacation,0.0
categorical__purpose_educational,0.0
categorical__purpose_major_purchase,0.0
categorical__purpose_renewable_energy,0.0
categorical__state_MT,0.0
categorical__state_NC,0.0
categorical__state_MS,0.0
categorical__state_MI,0.0
categorical__state_NV,0.0
categorical__state_NM,0.0
categorical__state_NJ,0.0
categorical__state_NH,0.0
categorical__state_ND,0.0
categorical__state_NE,0.0
categorical__state_OK,0.0
categorical__state_OR,0.0
categorical__state_TN,0.0
categorical__state_SD,0.0
categorical__state_SC,0.0
categorical__state_RI,0.0
categorical__state_VT,0.0
categorical__state_UT,0.0
categorical__state_WI,0.0
categorical__state_WA,0.0
